id,name
X-001,Московія
X-002,Пєтербургія
X-003,Фінська Корелія
X-004,Земля Великого Рову
X-005,Краснодарська Народна Республіка
X-006,Кавказька Конфедерація
X-007,Сибірська Народна Республіка
X-008,Княжество Саха
X-009,Монгольський Алтай
X-010,Уралька Псевдо-Демократична Республіка
X-011,Ненецька Резервація
X-012,Красноярське Королівство
X-013,Княжество Комі
X-014,Волжська Республіка
X-015,Міжнародний Заповідник Пусті Землі
X-016,Нижньо-Новгородське Князівство
X-017,Міжнародний Заповідник Східні Пусті Землі
X-018,Японські Острови та Континентальна Частина
X-019,Приморський Край Китаю
X-020,Магаданська Земля Сумісного Користування
X-021,Чукотська Полярна Республіка
X-022,Ямало-Ненецька Резервація
X-023,Хлиново-Пермська Республіка
X-024,Княжество Йомвош
X-025,Прусія
X-026,Костромсько-Вологдська Народна Республіка